City	Country	Nickname, comma seperated EDIT HERE, free form list	Nickname, default	Nickname, metro (div)	Someone from here is called	Plural form (demonym)	Type	Scale	Megacity	State or province	Lat	Long	GeoNamesID
Medan	Indonesia						Admin-1 capital	1	1	Sumatera Utara	3.58	98.65	1214520
Medellin	Colombia	Orchid City, La Bella Villa, The Beautiful village, La ciudad de la eterna primavera, The city of eternal spring, La tacita de Plata, The little silver cup, La capital de la Montaña, The Mountain's capital	La Bella Villa				Admin-1 capital	1	1	Antioquia	6.28	-75.58	3674962
Medford	United States of America						Populated place	6	0	Oregon	42.33	-122.87	5740099
Medina	Saudi Arabia						Admin-1 capital	4	1	Al Madinah	24.5	39.58	109223
Meerut	India						Populated place	4	1	Uttar Pradesh	29	77.7	1263214
Mekoryuk	United States of America						Populated place	8	0	Alaska	60.39	-166.19	-1
Melbourne	United States of America						Populated place	8	0	Florida	28.08	-80.61	4163971
Melbourne	Australia	Mellie, Bearbrass, Marvellous Melbourne	Mellie		Melbournian, Melburnian, Melbournite		Admin-1 capital	1	1	Victoria	-37.82	144.98	2158177
Melekeok	Palau						Admin-0 capital	6	0		7.49	134.63	1559804
Memphis	United States of America	Bluff City, Home of the Blues, Birthplace of Rock 'n Roll, River City, Barbecued Pork Capital of the World	Bluff City				Populated place	3	1	Tennessee	35.12	-90	4641239
Mendocino	United States of America						Populated place	8	0	California	39.31	-123.8	-1
Mendoza	Argentina						Admin-1 capital	3	1	Mendoza	-32.88	-68.82	3844421
Menongue	Angola						Admin-1 capital	3	0	Cuando Cubango	-14.67	17.7	3347353
Merced	United States of America	MerDead, Gateway to Yosemite	Gateway to Yosemite				Populated place	7	0	California	37.3	-120.48	5372253
Merida	Mexico						Admin-1 capital	3	1	Yucatán	20.97	-89.62	3523349
Meridian	United States of America						Populated place	8	0	Mississippi	32.36	-88.7	4435764
Mesa	United States of America						Populated place	8	0	Arizona	33.42	-111.74	5304391
Metairie	United States of America						Populated place	8	0	Louisiana	29.98	-90.15	4333177
Mexicali	Mexico	The City who captured the sun			Mexicalense		Admin-1 capital	4	1	Baja California	32.65	-115.48	3996069
Mexico City	Mexico	D.F., The city of palaces, City of Hope, La Venecia de Indias, The Venice of Indies, La Ciudad de la Esperanza, Mexicalpan, Chilangolandia, El Distrito, México, La Capital, Tenochtitlan	DF		Chilango, capitalino -a		Admin-0 capital	1	1	Distrito Federal	19.44	-99.13	3530597
Miami	United States of America	Capital of Latin America, The Magic City, The Gateway to the Americas, Little Cuba, Little Havana	Gateway to the Americas		Miamian		Populated place	1	1	Florida	25.79	-80.22	4164138
Miami Beach	United States of America						Populated place	8	0	Florida	25.81	-80.13	4164143
Mianyang	China						Populated place	4	1	Sichuan	31.47	104.77	1800627
Midland	United States of America						Populated place	7	0	Texas	32.03	-102.1	5526337
Milan	Italy	Fashion capital of the world, City with heart, Factory of the Future, The Moral Capital of Italy, The Design World Capital, The Economic Capital of Italy					Admin-1 region capital	1	1	Lombardia	45.47	9.21	3173435
Miles City	United States of America						Populated place	7	0	Montana	46.41	-105.84	5666176
Milwaukee	United States of America	Brew City, Cream City	Brew City				Populated place	3	1	Wisconsin	43.05	-87.92	5263045
Minneapolis	United States of America	Twin Cities (with Saint Paul), Mill City, City of Lakes, 612, Miniapple, Hockeytown	City of Lakes	Twin Cities	Minneapolitan		Populated place	1	1	Minnesota	44.98	-93.25	5037649
Minot	United States of America	The Magic City					Populated place	4	0	North Dakota	48.23	-101.3	5690532
Minsk	Belarus	The Capital of the Commonwealth of Independent States					Admin-0 capital	3	1	Minsk	53.9	27.57	625144
Missoula	United States of America	The Garden City, Zoo Town					Populated place	4	0	Montana	46.87	-113.99	5666639
Mitchell	United States of America						Populated place	7	0	South Dakota	43.71	-98.03	5229794
Mitu	Colombia	La Sultana del Valle, The sultan of the Valley					Admin-1 capital	3	0	Vaupés	1.2	-70.17	3674676
Moab	United States of America						Populated place	7	0	Utah	38.57	-109.55	5543307
Mobile	United States of America	Mob-Town	Mob-Town				Populated place	6	0	Alabama	30.68	-88.05	4076598
Mobridge	United States of America						Populated place	7	0	South Dakota	45.54	-100.43	5767189
Modesto	United States of America						Populated place	7	0	California	37.66	-120.99	5373900
Mogadishu	Somalia						Admin-0 capital	3	1	Banaadir	2.07	45.37	53654
Mombasa	Kenya						Admin-1 capital	3	1	Coast	-4.04	39.69	186301
Monaco	Monaco						Admin-0 capital	6	0		43.74	7.41	2993458
Monroe	United States of America						Populated place	7	0	Louisiana	32.51	-92.12	4333669
Monrovia	Liberia						Admin-0 capital	3	1	Montserrado	6.31	-10.8	2274895
Montana	United States of America						Populated place	8	0	Alaska	62.08	-150.07	-1
Montclair	United States of America	Upper Upper West Side, Park Slope West					Populated place	7	1	New Jersey			
Monterey	United States of America						Populated place	6	0	California	36.6	-121.89	5374361
Monterrey	Mexico	La Sultana del Norte, The Sultaness of the North, La Ciudad de las Montañas, The City of the Mountains, Cabrito city			Regiomontano -a		Admin-1 capital	1	1	Nuevo León	25.67	-100.33	3995465
Montevideo	Uruguay						Admin-0 capital	3	1	Montevideo	-34.86	-56.17	5038018
Montgomery	United States of America						Admin-1 capital	4	0	Alabama	32.36	-86.28	4076784
Monticello	United States of America						Populated place	7	0	Utah	37.87	-109.34	5543377
Montpelier	United States of America						Populated place	7	0	Idaho	42.32	-111.3	5601299
Montpelier	United States of America						Admin-1 capital	8	0	Vermont	44.26	-72.58	5238685
Montréal	Canada	Montreal, City of Saints, The Golden City, City of a thousand bell towers, La ville aux cent clochers, The Belltower, Sin City, The Amsterdam of North America, The City Light, The Lamp, The Big Island, The Metropolis, Frenchtown, The City-Mountain, Mount Real, Silvercity, Royal City, The City of Saints, The Festival City, MTL, Montréalité, La Métropole, Hollywood North, YUL	City of Saints		Montréaler, Montréalais		Populated place	1	1	Québec	45.5	-73.58	6077243
Montrose	United States of America						Populated place	7	0	Colorado	38.48	-107.87	5431710
Moorhead	United States of America						Populated place	7	0	Minnesota	46.87	-96.74	5038108
Moradabad	India						Populated place	4	1	Uttar Pradesh	28.84	78.76	1262801
Morgantown	United States of America						Populated place	7	0	West Virginia	39.63	-79.96	4815352
Moroni	Comoros						Admin-0 capital	6	0		-11.7	43.24	921772
Moscow	Russia	The Third Rome			Muscovite		Admin-0 capital	1	1	Moskva	55.75	37.62	524901
Mosul	Iraq						Admin-1 capital	4	1	Ninawa	36.35	43.15	99072
Mountain Village	United States of America						Populated place	8	0	Alaska	62.09	-163.73	-1
Mt. Shasta	United States of America						Populated place	7	0	California	41.31	-122.31	5568295
Mudangiang	China						Populated place	6	1	Heilongjiang	44.58	129.59	2035715
Multan	Pakistan						Populated place	3	1	Punjab	30.2	71.46	1169825
Mumbai	India	Bollywood, Film City, The Commercial Capital of India, The City of Dreams, Maximum City, The Gateway of India, Cricket Capital of India	Bollywood	Maximum City			Admin-1 capital	1	1	Maharashtra	19.02	72.86	1275339
Muncie	United States of America						Populated place	7	0	Indiana	40.19	-85.39	4924006
Munich	Germany	Millionendorf, München, Village of a million inhabitants, World City with Heart, Weltstadt mit Herz, Italy's northern most city, nördlichste Stadt Italiens	Millionendorf				Admin-1 capital	1	1	Bayern	48.13	11.57	2867714
Murfreesboro	United States of America	The Boro	The Boro				Populated place	7	0	Tennessee	35.85	-86.39	4644312
Murmansk	Russia						Admin-1 capital	3	0	Murmansk	68.97	33.1	524305
Muscat	Oman						Admin-0 capital	3	0	Muscat	23.61	58.59	287286
Muskegon	United States of America	The Beer Tent Capital of the World, The Riviera of the Midwest, Lumber Queen of the World					Populated place	7	0	Michigan	43.23	-86.25	5003132
Muskogee	United States of America						Populated place	7	0	Oklahoma	35.75	-95.37	4543338
Myrtle Beach	United States of America						Populated place	6	0	South Carolina	33.69	-78.89	4588718
Mysore	India						Populated place	4	1	Karnataka	12.31	76.66	1262321
Nacala	Mozambique						Populated place	3	0	Nampula	-14.52	40.72	1035025
Nacogdoches	United States of America						Populated place	7	0	Texas	31.6	-94.66	4713735
Nagasaki	Japan	City of Peace, City of Hills, City of Lights, City of Streetcars, Naples of the Orient			Nagasakian		Populated place	3	0	Nagasaki	32.76	129.89	1856177
Nagoya	Japan				Nagoyan		Admin-1 region capital	4	1	Aichi	35.15	136.91	1856057
Nagpur	India						Populated place	1	1	Maharashtra	21.17	79.09	1262180
Nain	Canada						Populated place	3	0	Newfoundland and Labrador	56.55	-61.69	-1
Nairobi	Kenya	The Green City in the Sun, The City in the Sun					Admin-0 capital	1	1	Nairobi	-1.28	36.82	184745
Nampo	North Korea						Populated place	6	1	Namp'o-si	38.77	125.45	1873757
Nanchang	China						Admin-1 capital	1	1	Jiangxi	28.68	115.88	1800163
Nanchong	China						Populated place	4	1	Sichuan	30.78	106.13	1800146
Nanjing	China						Admin-1 capital	1	1	Jiangsu	32.05	118.78	1799962
Nanning	China						Admin-1 capital	1	1	Guangxi	22.82	108.32	1799869
Nantong	China						Populated place	6	1	Jiangsu	32.03	120.83	1799722
Nanyang	China						Populated place	4	1	Henan	33	112.53	1799629
Naples	Italy	Pizza capital of the world, Capital of the South, City of Sea, City of Sun			Neapolitan		Admin-1 region capital	1	1	Campania	40.84	14.25	3172394
Naples	United States of America				Neapolitan		Populated place	7	0	Florida	26.14	-81.79	4165565
Nashville	United States of America	Nashvegas, Cashville, Smashville, Music City	Smashville				Admin-1 capital	3	1	Tennessee	36.17	-86.78	4644585
Nasik	India						Populated place	4	1	Maharashtra	20	73.78	1261731
Nassau	The Bahamas						Admin-0 capital	3	0		25.08	-77.35	3571824
Natal	Brazil						Admin-1 capital	4	1	Rio Grande do Norte	-5.78	-35.24	3394023
Natchez	United States of America						Populated place	7	0	Mississippi	31.55	-91.39	4437982
National City	United States of America						Populated place	8	0	California	32.67	-117.1	5376200
Naypyidaw	Myanmar						Admin-0 capital	3	1	Mandalay	19.77	96.12	6611854
Ndele	Central African Republic						Admin-1 capital	3	0	Bamingui-Bangoran	8.41	20.65	237379
Ndjamena	Chad						Admin-0 capital	3	1	Hadjer-Lamis	12.11	15.05	2427123
Needles	United States of America						Populated place	7	0	California	34.85	-114.61	5376358
Neijiang	China						Populated place	4	1	Sichuan	29.58	105.05	1799491
Nenana	United States of America						Populated place	8	0	Alaska	64.56	-149.09	-1
Nephi	United States of America						Populated place	8	0	Utah	39.71	-111.84	5543853
New Albany	United States of America						Populated place	8	0	Indiana	38.31	-85.82	4262045
New Bedford	United States of America	The Whaling City			New Bedfordian	New Bedfordians	Populated place	8	0	Massachusetts	41.66	-70.94	4945121
New Braunfels	United States of America						Populated place	8	0	Texas	29.7	-98.13	4714131
New Delhi	India	Delhi					Admin-0 capital	1	0	Delhi	28.6	77.2	1261481
New Haven	United States of America	Elm City					Populated place	7	0	Connecticut	41.33	-72.9	4839366
New Iberia	United States of America						Populated place	8	0	Louisiana	30	-91.82	4334971
New London	United States of America						Populated place	8	0	Connecticut	41.36	-72.1	4839416
New Orleans	United States of America	The Big Easy, Chocolate City, Crescent City, NOLA, N'Awlins, The City that Care Forgot, The Big Sleazy, Cut Throat City	The Big Easy	NOLA	New Orleanian		Populated place	3	1	Louisiana	30	-90.04	4335045
New York	United States of America	The Big Apple, N.Y., N.Y.C., Gotham, The Five Boroughs, NY, NYC, New York City, The City, The City that Never Sleeps, Empire City, The Melting Pot, BKLYN, MNYSC, NYR	The Big Apple	NY	New Yorker		Populated place	1	1	New York	40.75	-73.98	5128581
Newark	United States of America	Brick City	Brick City				Populated place	7	0	New Jersey	40.7	-74.17	5101798
Newbury	United Kingdom	Vodaville	Vodaville				Populated place			Berkshire			
Newcastle	Australia						Populated place	3	0	New South Wales	-32.85	151.82	2155472
Newcastle	United Kingdom	The Toon, Newcastle Upon Tyne, Geordieland	The Toon		Novocastrian, Geordie		Populated place	6	1	Tyne and Wear	55	-1.6	2641673
Newhalen	United States of America						Populated place	7	0	Alaska	59.72	-154.9	-1
Newport	United States of America						Populated place	7	0	Rhode Island	41.49	-71.31	5223593
Niagara Falls	United States of America	Cataract City	Cataract City				Populated place	7	0	New York	43.09	-79.04	6087892
Niamey	Niger						Admin-0 capital	3	1	Niamey	13.52	2.12	2440485
Nice	France	Nissa la bella, The capital of the Riviera	Nissa la bella				Populated place	6	1	Provence-Alpes-Côte-d'Azur	43.72	7.27	2990440
Nicosia	Cyprus No Mans Area						Admin-0 capital	3	0		35.17	33.37	146268
Nikolski	United States of America						Populated place	7	0	Alaska	52.94	-168.87	-1
Ningbo	China						Populated place	4	1	Zhejiang	29.88	121.55	1799397
Niyala	Sudan						Populated place	3	0	South Darfur	12.06	24.89	369004
Nizhneyansk	Russia						Populated place	3	0	Sakha (Yakutia)	71.43	136.07	-1
Nizhny Novgorod	Russia	Nizhniy	Nizhniy				Admin-1 capital	3	1	Nizhegorod	56.33	44	520555
Nome	United States of America						Populated place	3	0	Alaska	64.51	-165.41	5870133
Norfolk	United States of America						Populated place	7	0	Nebraska	42.03	-97.43	5073965
Norfolk	United States of America						Populated place	3	0	Virginia	36.85	-76.28	4776222
Norman	United States of America						Populated place	7	0	Oklahoma	35.23	-97.34	4543762
North Little Rock	United States of America	Dog Town, Little Argentina	Dog Town				Populated place			Arkansas			
North Platte	United States of America						Populated place	7	0	Nebraska	41.14	-100.77	5697939
Nottingham	United Kingdom	The Queen of the Midlands	Queen of the Midlands		Nottinghamian		Populated place	`					
Nouakchott	Mauritania						Admin-0 capital	3	0	Nouakchott	18.09	-15.98	2377450
Noumea	New Caledonia						Admin-0 region capital	6	0	Sud	-22.26	166.44	2139521
Novi Sad	Serbia	Serbian Athens					Admin-0 region capital	7	0	Južno-Backi	45.25	19.85	3194360
Novosibirsk	Russia						Admin-1 capital	3	1	Novosibirsk	55.03	82.96	1496747
Nukualofa	Tonga						Admin-0 capital	3	0		-21.14	-175.22	4032402
Nuuk	Greenland						Admin-0 region capital	3	0	Kommuneqarfik Sermersooq	64.2	-51.73	3421319
Nyac	United States of America						Populated place	8	0	Alaska	61	-159.94	-1
Oak Ridge	United States of America						Populated place	7	0	Tennessee	36.01	-84.27	4646571
Oakland	United States of America	Oaktown, The O, The Town	The O		Oaklander		Populated place	6	0	California	37.77	-122.22	5378538
Obo	Central African Republic						Admin-1 capital	3	0	Haut-Mbomou	5.4	26.5	236950
Ocala	United States of America						Populated place	7	0	Florida	29.19	-82.14	4166673
Oceanside	United States of America						Populated place	7	0	California	33.22	-117.33	5378771
Odessa	Ukraine	Odessa-mama, Odessa-Mother, Pearl by the sea, Southern Palmira	Odessa-mama				Admin-1 capital	4	1	Odessa	46.49	30.71	698740
Odessa	United States of America	Petroplex, Jackrabbit Capital of Texas	Petroplex	Petroplex			Populated place	6	0	Texas	31.85	-102.37	5527554
Ogbomosho	Nigeria						Populated place	4	1	Oyo	8.13	4.24	2327735
Ogden	United States of America						Populated place	7	0	Utah	41.23	-111.97	5779206
Oklahoma City	United States of America	 OKC, The City, The 405	 OKC	 OKC			Admin-1 capital	3	1	Oklahoma	35.47	-97.52	4544349
Olympia	United States of America						Admin-1 capital	4	0	Washington	47.04	-122.9	5805687
Omaha	United States of America	Gateway to the West					Populated place	3	0	Nebraska	41.24	-96.01	5074472
Omsk	Russia						Admin-1 capital	4	1	Omsk	54.99	73.4	1496153
Ontario	United States of America						Populated place	8	0	Oregon	44.03	-116.96	5744166
Oran	Algeria						Populated place	3	1	Oran	35.71	-0.62	2485926
Orangeburg	United States of America						Populated place	8	0	South Carolina	33.5	-80.86	4590184
Oranjestad	Aruba						Admin-0 region capital	7	0		12.53	-70.03	3513426
Orlando	United States of America	The City Beautiful, O-Town, Bore-lando					Populated place	4	1	Florida	28.51	-81.38	4167147
Osaka	Japan	Naniwa, City of Water, Venice of Japan, City of Business, City of Kuidaore, Food Capital of Japan	Naniwa		Osakan		Admin-1 region capital	1	1	Osaka	34.75	135.46	1853909
Oshkosh	United States of America						Populated place	7	0	Wisconsin	44.03	-88.54	5265838
Oslo	Norway	Tigerstaden, Tiger City			Oslovian		Admin-0 capital	1	1	Oslo	59.92	10.75	3143244
Ottawa	Canada	O-town, Silicon Valley of the North, Bytown, The 'Wa, O.T.	Bytown	O.T.	Ottawan		Admin-0 capital	3	1	Ontario	45.42	-75.7	6094817
Ottumwa	United States of America	City of Bridges	City of Bridges				Populated place	8	0	Iowa	41.01	-92.41	4870380
Ouagadougou	Burkina Faso						Admin-0 capital	3	1	Kadiogo	12.37	-1.52	2357048
Owensboro	United States of America						Populated place	7	0	Kentucky	37.77	-87.11	4303436
Padang	Indonesia	City of Rendang	City of Rendang				Admin-1 capital	3	1	Sumatera Barat	-0.96	100.36	1633419
Paducah	United States of America						Populated place	7	0	Kentucky	37.08	-88.6	4048662
Pago Pago	American Samoa						Admin-0 region capital	4	0		-14.28	-170.71	5881576
Palana	Russia						Populated place	3	0	Kamchatka	59.08	159.95	2122262
Palatka	United States of America						Populated place	8	0	Florida	29.65	-81.65	4167482
Palembang	Indonesia	City of Pempek, City of Fishcake	City of Pempek				Admin-1 capital	3	1	Sumatera Selatan	-2.98	104.75	1633070
Palermo	Italy						Admin-1 region capital	3	1	Sicily	38.13	13.35	2523920
Palikir	Federated States of Micronesia						Admin-0 capital	6	0		6.92	158.15	2081986
Palm Coast	United States of America						Populated place	8	0	Florida	29.54	-81.22	4167538
Palm Springs	United States of America						Populated place	7	0	California	33.78	-116.53	5380668
Palmer	United States of America						Populated place	6	0	Alaska	61.6	-149.11	5871146
Panama City	United States of America	The World's Most Beautiful Beaches					Populated place	8	0	Florida	30.16	-85.66	4167694
Panama City	Panama						Admin-0 capital	3	1	Panama	8.97	-79.53	3703443
Papeete	French Polynesia						Admin-0 region capital	4	0		-17.53	-149.57	4033936
Paragould	United States of America						Populated place	8	0	Arkansas	36.06	-90.5	4125388
Paramaribo	Suriname						Admin-0 capital	3	0	Paramaribo	5.84	-55.17	3383330
Paris	France	City of Lights, City of Light, City of Love, Gay Paree, Fashion capital of the world, Paname, Pantruche	City of Lights		 Parisian	 Parisians	Admin-0 capital	1	1	Île-de-France	48.87	2.33	6942553
Parkersburg	United States of America						Populated place	8	0	West Virginia	39.27	-81.56	4817641
Parowan	United States of America						Populated place	7	0	Utah	37.84	-112.83	5544619
Pasadena	United States of America	The Dena, Dirty Dena, the 626, The Crown City, The Rose City					Populated place	7	0	California	34.16	-118.14	5381396
Pasadena	United States of America						Populated place	8	0	Texas	29.66	-95.15	4717782
Pasay City	Philippines						Admin-0 capital alt	7	0	Metropolitan Manila	14.55	121	-1
Paso Robles	United States of America						Populated place	8	0	California	35.63	-120.69	5381438
Paterson	United States of America						Populated place	8	0	New Jersey	40.92	-74.17	5102466
Patna	India						Admin-1 capital	1	1	Bihar	25.62	85.13	1260086
Pecos	United States of America						Populated place	7	0	Texas	31.42	-103.5	5528182
Pekanbaru	Indonesia						Admin-1 capital	6	1	Riau	0.56	101.43	1631761
Pendleton	United States of America						Populated place	7	0	Oregon	45.67	-118.79	5745380
Pensacola	United States of America						Populated place	6	0	Florida	30.42	-87.22	4168228
Peoria	United States of America	Whiskeytown	Whiskeytown				Populated place	6	0	Illinois	40.7	-89.67	4905687
Perm	Russia						Admin-1 capital	3	1	Perm'	58	56.25	511196
Perryville	United States of America						Populated place	8	0	Alaska	55.92	-159.15	-1
Perth	Australia				Perthite		Admin-1 capital	3	1	Western Australia	-31.96	115.84	2063523
Peshawar	Pakistan						Admin-1 capital	3	1	N.W.F.P.	34.01	71.54	1168197
Petersburg	United States of America						Populated place	8	0	Virginia	37.23	-77.4	4778626
Petoskey	United States of America						Populated place	7	0	Michigan	45.37	-84.96	5005484
Petropavlovsk Kamchatskiy	Russia						Admin-1 capital	3	0	Kamchatka	53.06	158.62	2122104
Philadelphia	United States of America	City of Brotherly Love, Hostile City, Cradle of Liberty, Philly, The Quaker City, The Illadelph, The 215, PHL, Shackamaxon, The Big Scrapple, Filphadelphia	Philly	PHL	Philadelphian		Populated place	1	1	Pennsylvania	39.95	-75.16	4560349
Phnom Penh	Cambodia						Admin-0 capital	3	1	Phnom Penh	11.55	104.92	1821306
Phoenix	United States of America	PHX, Valley of the Sun, Da 602, Arizona's Urban Heart	PHX	Valley of the Sun	Phoenician		Admin-1 capital	1	1	Arizona	33.54	-112.07	5308655
Pierre	United States of America						Admin-1 capital	3	0	South Dakota	44.37	-100.35	5767918
Pilot Point	United States of America						Populated place	7	0	Alaska	57.56	-157.57	-1
Pine Bluff	United States of America						Populated place	7	0	Arkansas	34.23	-92	4126226
Pingdingshan	China						Populated place	6	1	Henan	33.73	113.3	1798827
Pingxiang	China						Populated place	3	1	Jiangxi	27.62	113.85	1798654
Pittsburgh	United States of America	Steel City, Iron City, City of Bridges, PGH, The 'Burgh	Steel City	PGH	Pittsburgher		Populated place	3	1	Pennsylvania	40.43	-80	5206379
Pittsfield	United States of America						Populated place	8	0	Massachusetts	42.45	-73.26	4947459
Plattsburg	United States of America						Populated place	8	0	New York	44.69	-73.46	5131692
Pocatello	United States of America	The Gate City					Populated place	6	0	Idaho	42.87	-112.44	5604045
Podgorica	Montenegro						Admin-0 capital	4	0	Podgorica	42.47	19.27	3193044
Point Hope	United States of America						Populated place	3	0	Alaska	68.35	-166.81	-1
Polson	United States of America						Populated place	8	0	Montana	47.69	-114.16	5671996
Ponca City	United States of America						Populated place	7	0	Oklahoma	36.71	-97.09	4548267
Ponta Delgada	Portugal						Admin-0 region capital	4	0	Azores	37.75	-25.67	3372783
Pontiac	United States of America	PON	PON				Populated place	7	0	Michigan	42.65	-83.29	5006166
Poplar Bluff	United States of America						Populated place	7	0	Missouri	36.76	-90.4	4404233
Port Arthur	United States of America	Energy City	Energy City				Populated place	7	0	Texas	29.9	-93.93	4720039
Port Charlotte	United States of America						Populated place	8	0	Florida	27	-82.11	4169130
Port Elizabeth	South Africa						Populated place	3	1	Eastern Cape	-33.97	25.6	964420
Port Harcourt	Nigeria						Admin-1 capital	4	1	Rivers	4.81	7.01	2324774
Port Heiden	United States of America						Populated place	8	0	Alaska	56.95	-158.63	-1
Port Lavaca	United States of America						Populated place	7	0	Texas	28.62	-96.63	4720067
Port Louis	Mauritius						Admin-0 capital	4	0		-20.17	57.5	934154
Port Moresby	Papua New Guinea						Admin-0 capital	3	0	Central	-9.46	147.19	2088122
Port Sudan	Sudan						Admin-1 capital	3	0	Red Sea	19.62	37.22	377039
Port-au-Prince	Haiti						Admin-0 capital	3	1	Ouest	18.54	-72.34	3718426
Port-Gentil	Gabon						Admin-1 capital	3	0	Ogooué-Maritime	-0.72	8.78	2396518
Port-of-Spain	Trinidad and Tobago						Admin-0 capital	4	0	Port of Spain	10.65	-61.52	3573890
Port-Vila	Vanuatu						Admin-0 capital	3	0	Shefa	-17.73	168.32	2135171
Portland	United States of America	Forest City	Forest City		Portlander		Populated place	6	0	Maine	43.67	-70.25	4975802
Portland	United States of America	Stumptown, Bridgetown, Bridge City, Rip City, The Rose City, PDX, The City of Roses, Little Beirut, Beervana, Beertown, P-town, Portlandia, PO, The People's Republic of Portland	Stumptown	PDX	Portlander		Populated place	3	1	Oregon	45.52	-122.68	5746545
Porto	Portugal	Invicta, The Invincible City,  Unconquered City, The Grey City	Invicta				Admin-1 capital	6	1	Porto	41.15	-8.62	2735943
Porto Alegre	Brazil				Porto-alegrense		Admin-1 capital	1	1	Rio Grande do Sul	-30.05	-51.2	3452925
Porto-Novo	Benin						Admin-0 capital alt	4	0	Ouémé	6.48	2.62	2392087
Posadas	Argentina						Admin-1 capital	3	0	Misiones	-27.36	-55.89	3429886
Poughkeepsie	United States of America	Queen city of the Hudson					Populated place	8	0	New York	41.7	-73.92	5132143
Powell	United States of America						Populated place	8	0	Wyoming	44.76	-108.76	5835606
Prague	Czech Republic	Golden City, Stověžatá Praha, City of a Hundred Spires	Stověžatá Praha				Admin-0 capital	1	1	Prague	50.08	14.47	4548393
Praia	Cape Verde						Admin-0 capital	3	0		14.92	-23.52	3374333
Prescott	United States of America	The Mile-High City					Populated place	6	0	Arizona	34.59	-112.45	5309842
Presque Isle	United States of America						Populated place	7	0	Maine	46.79	-68	4975966
Pretoria	South Africa						Admin-0 capital	3	1	Gauteng	-25.71	28.23	964137
Price	United States of America						Populated place	7	0	Utah	39.6	-110.81	5545269
Prince Rupert	Canada						Populated place	3	0	British Columbia	54.32	-130.33	6113406
Pristina	Kosovo						Admin-0 capital	4	0	Pristina	42.67	21.17	786714
Providence	United States of America	The Creative Capital, Beehive of Industry, The Renaissance City, The Divine City					Admin-1 capital	6	1	Rhode Island	41.82	-71.41	5221931
Provincetown	United States of America	P-town					Populated place	7	0	Massachusetts			
Provo	United States of America	Happy Valley, The Garden City	Happy Valley				Populated place	6	0	Utah	40.25	-111.64	5780026
Prudhoe Bay	United States of America						Populated place	3	0	Alaska	70.29	-148.67	-1
Puch'on	South Korea						Populated place	7	1	Gyeonggi-do	37.5	126.78	1838716
Puebla	Mexico	The city of the sweet potatoes (camotes), The city of tiles (talavera), The city of Angels			Poblano -a, angelopolitano -a, pipope, camotero -a		Admin-1 capital	1	1	Puebla	19.05	-98.2	3521081
Pueblo	United States of America	Home of Heroes	Home of Heroes				Populated place	7	0	Colorado	38.28	-104.63	5435464
Puerto Deseado	Argentina						Populated place	3	0	Santa Cruz	-47.75	-65.9	-1
Puerto Montt	Chile	Estación Final, Final Station, Puerto, The Port, Muerto Montt, Dead Montt	Estación Final				Admin-1 capital	3	0	Los Lagos	-41.47	-72.93	3874960
Pune	India						Populated place	1	1	Maharashtra	18.53	73.85	1259229
Punta Arenas	Chile	Punta, Magallanes, La ciudad más austral del Mundo, Southernmost city of the world	Punta				Admin-1 capital	3	0	Magallanes y Antártica Chilena	-53.16	-70.94	3874787
Putrajaya	Malaysia						Admin-0 capital alt	4	0	Selangor	2.91	101.7	6697380
Pyongyang	North Korea						Admin-0 capital	1	1	P'yongyang	39.02	125.75	1871859
Qaraghandy	Kazakhstan						Populated place	3	0	Qaraghandy	49.88	73.12	1519942
Qingdao	China						Populated place	4	1	Shandong	36.09	120.33	1797929
Qinhuangdao	China						Populated place	6	1	Hebei	39.93	119.62	1797595
Qiqihar	China						Populated place	3	1	Heilongjiang	47.34	123.99	2035265
Qom	Iran	Iran's Vatican					Admin-1 capital	6	1	Qom	34.65	50.95	119208
Quanzhou	China						Populated place	4	1	Fujian	24.9	118.58	1797353
Québec	Canada	The capital of La Belle Province, The Old Capital, Old Town
National Capital, The large village, The Beautiful City, Official City, The Gibraltar of America					Admin-1 capital	3	0	Québec	46.84	-71.25	6325494
Queretaro	Mexico	la ciudad sin tenencia			queretano -a		Admin-1 capital	6	1	Querétaro	20.63	-100.38	3991164
Quetta	Pakistan						Admin-1 capital	4	1	Baluchistan	30.22	67.02	1167528
Quezon City	Philippines						Admin-0 capital alt	7	0	Metropolitan Manila	14.65	121.03	-1
Quincy	United States of America						Populated place	7	0	Illinois	39.94	-91.41	4247703
Quinhagak	United States of America						Populated place	7	0	Alaska	59.75	-161.92	-1
Quito	Ecuador						Admin-0 capital	3	1	Pichincha	-0.21	-78.5	3652462
Rabat	Morocco						Admin-0 capital	3	1	Rabat - Salé - Zemmour - Zaer	34.03	-6.84	2538475
Racine	United States of America	Kringle Capital of the World					Populated place	7	0	Wisconsin	42.73	-87.81	5268249
Raipur	India						Admin-1 capital	4	1	Chhattisgarh	21.23	81.64	1258980
Rajkot	India						Populated place	4	1	Dadra and Nagar Haveli	22.31	70.8	1258847
Rajshahi	Bangladesh	Raji	Raji				Admin-1 capital	4	1	Rajshahi	24.37	88.61	1185128
Raleigh	United States of America	City of Oaks, Research Triangle, RTP, Research Triangle Park	Research Triangle	RTP			Admin-1 capital	3	0	North Carolina	35.82	-78.64	4487042
Ramallah	Palestine						Admin-0 region capital	10	0		31.9	35.21	282239
